country,homicides,firearms,OECD
Albania,1.76,8.6,
Algeria,0.06,7.6,
Angola,,17.3,
Anguilla,7.14,,
Argentina,3.02,10.2,
Armenia,0.29,12.5,
Australia,0.14,15,Y
Austria,0.22,30.4,Y
Azerbaijan,0.12,3.5,
Bahamas,15.37,5.3,
Bahrain,0,24.8,
Bangladesh,1.12,0.5,
Barbados,2.99,7.8,
Belarus,0.12,7.3,
Belgium,0.68,17.2,Y
Belize,21.82,10,
Benin,,1.4,
Bermuda,0,,
Bhutan,,3.5,
Bolivia,,2.8,
Bosnia and Herzegovina,0.48,17.3,
Botswana,,4.9,
Brazil,18.1,8,
Brunei,0,1.4,
Bulgaria,0.67,6.2,
Burkina Faso,,1.1,
Burundi,,1.2,
Cambodia,1.44,4.3,
Cameroon,,2.8,
Canada,0.51,30.8,Y
Cape Verde,,5.4,
Central African Republic,,1,
Chad,,1.1,
Chile,2.16,10.7,Y
China,,4.9,
Colombia,27.09,5.9,
Comoros,,1.8,
Congo,,2.7,
"Congo, Dem Rep",1.56,1.4,
Costa Rica,4.59,9.9,
C‰ã¢te dåÇIvoire,,2.4,
Croatia,0.39,21.7,
Cuba,0.24,4.8,
Cyprus,0.46,36.4,
Czech Republic,0.19,16.3,Y
Denmark,0.27,12,Y
Djibouti,,2.8,
Dominican Republic,16.3,5.1,
East Timor,,0.3,
Ecuador,12.73,1.3,
Egypt,0.57,3.5,
El Salvador,39.9,5.8,
England and Wales,0.07,6.2,
Equatorial Guinea,,19.9,
Eritrea,,0.5,
Estonia,0.24,9.2,Y
Ethiopia,,0.4,
Fiji,,0.5,
Finland,0.45,45.3,Y
France,0.06,31.2,Y
Gabon,,14,
Gambia,,0.8,
Georgia,0.55,7.3,
Germany,0.19,30.3,Y
Ghana,,0.4,
Greece,0.26,22.5,Y
Grenada,0,,
Guatemala,34.81,13.1,
Guinea,,1.2,
Guinea-Bissau,,1.6,
Guyana,11.46,14.6,
Haiti,,0.6,
Honduras,68.43,6.2,
Hong Kong,0,,
Hungary,0.07,5.5,Y
Iceland,0,30.3,Y
India,0.26,4.2,
Indonesia,,0.5,
Iran,,7.3,
Iraq,,34.2,
Ireland,0.48,8.6,Y
Israel,0.09,7.3,Y
Italy,0.71,11.9,Y
Jamaica,39.4,8.1,
Japan,0.01,0.6,Y
Jordan,0.49,11.5,
Kazakhstan,1.34,1.3,
Kenya,,6.4,
"Korea, North",,0.6,
"Korea, South",0.03,1.1,Y
Kosovo,,19.5,
Kuwait,,24.8,
Kyrgyzstan,0.54,0.9,
Laos,,1.2,
Latvia,0.22,19,
Lebanon,0.76,21,
Lesotho,,2.7,
Liberia,0.43,1.6,
Libya,,15.5,
Liechtenstein,2.82,,
Lithuania,0.18,0.7,
Luxembourg,0.62,15.3,Y
Macedonia,1.21,24.1,
Madagascar,,0.8,
Malawi,,0.7,
Malaysia,0.24,1.5,
Maldives,1.63,6.5,
Mali,,1.1,
Malta,0,11.9,
Mauritania,,1.6,
Mauritius,0.1,14.7,
Mexico,9.97,15,Y
Moldova,0.22,7.1,
Monaco,0,,
Mongolia,0.11,1.9,
Montenegro,,23.1,
Morocco,,5,
Mozambique,,5.1,
Myanmar,,4,
Namibia,,12.6,
Nepal,0.3,0.8,
Netherlands,0.33,3.9,Y
New Zealand,0.16,22.6,Y
Nicaragua,5.92,7.7,
Niger,,0.7,
Nigeria,,1.5,
Northern Ireland,0.28,21.9,
Norway,0.05,31.3,Y
Oman,,25.4,
Pakistan,,11.6,
Panama,16.18,21.7,
Papua New Guinea,,1.2,
Paraguay,7.35,17,
Peru,2.63,18.8,
Philippines,8.93,4.7,
Poland,0.09,1.3,Y
Portugal,0.41,8.5,Y
Puerto Rico,18.3,,
Qatar,0.14,19.2,
Romania,0.02,0.7,
Russia,,8.9,
Rwanda,,0.6,
Saint Kitts and Nevis,32.44,,
Saint Vincent and the Grenadines,5.49,,
Saudi Arabia,,35,
Scotland,,5.5,
Senegal,,2,
Serbia,0.46,37.8,
Seychelles,,5.4,
Sierra Leone,2.28,0.6,
Singapore,0.02,0.5,
Slovakia,0.18,8.3,Y
Slovenia,0.1,13.5,Y
Solomon Islands,0,0.4,
Somalia,,9.1,
South Africa,17.03,12.7,
Spain,0.2,10.4,Y
Sri Lanka,1.48,1.5,
Sudan,,5.5,
Suriname,,13.4,
Swaziland,,6.4,
Sweden,0.41,31.6,Y
Switzerland,0.77,45.7,Y
Syria,,3.9,
Taiwan,0.56,4.4,
Tajikistan,0.22,1,
Tanzania,,1.4,
Thailand,,15.6,
Togo,,1,
Trinidad and Tobago,27.31,1.6,
Tunisia,,0.1,
Turkey,0.77,12.5,Y
Turkmenistan,0.1,3.8,
Uganda,0.87,1.4,
Ukraine,0.22,6.6,
United Arab Emirates,,22.1,
United States,2.97,88.8,Y
Uruguay,2.8,31.8,
Uzbekistan,,1.5,
Venezuela,38.97,10.7,
Vietnam,0.99,1.7,
West Bank & Gaza,2.95,3.4,
Yemen,,54.8,
Zambia,0.35,8.9,
Zimbabwe,4.78,4.4,
